INST_NM,CERT_NBR,BranchNBR,INST_DEPOSIT,id
"Wells Fargo Bank, National Association",3511,6751,1086292000,1
"Wachovia Bank, National Association",3511,6751,1086292000,2
First Community Bank,3511,6751,1086292000,3
PlainsCapital Bank,3511,6751,1086292000,4
Centennial Bank of Pueblo,3511,6751,1086292000,5
"JPMorgan Chase Bank, National Association",628,6398,1069425000,6
Washington Mutual Bank,628,6398,1069425000,7
"Washington Mutual Bank, Federal Savings Bank",628,6398,1069425000,8
Bank of New York,628,6398,1069425000,9
"Bank of America, National Association",3510,6110,1169569000,10
MBNA America Bank,3510,6110,1169569000,11
"Bank of America,National Association",3510,6110,1169569000,12
Community Bank,3510,6110,1169569000,13
US Bank National Association,6548,3527,279550033,14
WestStar Bank,6548,3527,279550033,15
Heritage Bank,6548,3527,279550033,16
First Community Bank,6548,3527,279550033,17
National City Bank,6384,3465,237987918,18
"PNC Bank, National Association",6384,3465,237987918,19
Branch Banking & Trust Company,9846,2491,141957594,20
Home Bank,9846,2491,141957594,21
"Home Bank, FSB",9846,2491,141957594,22
Colonial Bank,9846,2491,141957594,23
Susquehanna Bank,9846,2491,141957594,24
Home Bank of Tennessee,9846,2491,141957594,25
Regions Bank,12368,2065,98120237,26
Union Planters Bank,12368,2065,98120237,27
AmSouth Bank,12368,2065,98120237,28
National Bank of Commerce,867,1879,147881358,29
SunTrust Bank,867,1879,147881358,30
OFSI National Bank,867,1879,147881358,31
"TD Bank, National Association",18409,1552,194285086,32
Mercantile Bank,18409,1552,194285086,33
Carolina First Bank,18409,1552,194285086,34
Scottrade Bank,18409,1552,194285086,35
Alliance Niagara Federal Credit Union,18409,1552,194285086,36
KeyBank National Association,17534,1529,72569086,37
EverTrust Bank,17534,1529,72569086,38
Key Private Bank,17534,1529,72569086,39
Fifth Third Bank,6672,1393,105387907,40
Huntington National Bank,6560,1377,53972437,41
"FirstMerit Bank, National Association",6560,1377,53972437,42
Provident Bank of Maryland,588,1112,73503009,43
Manufacturers & Traders Trust Company,588,1112,73503009,44
WTDirect,588,1112,73503009,45
"Citibank, National Association",7213,1105,441409000,46
"Chevy Chase Bank, FSB",4297,1088,195636554,47
"Capital One, National Association",4297,1088,195636554,48
Capital One Bank,4297,1088,195636554,49
Capital One 360,4297,1088,195636554,50
"RBS Citizens, National Association",57957,956,73339236,51
"Charter One Bank, National Association",57957,956,73339236,52
GreatBank Chicago,57957,956,73339236,53
"Citizens Bank, National Association",57957,956,73339236,54
First Commonwealth,29950,852,57109409,55
"Sovereign Bank, National Association",29950,852,57109409,56
"Santander Bank, National Association",29950,852,57109409,57
Sovereign Bank New England,29950,852,57109409,58
First-Citizens Bank & Trust Company,11063,785,26567251,59
First Regional Bank,11063,785,26567251,60
First-Citizens Bank & Trust,11063,785,26567251,61
Temecula Valley Bank,11063,785,26567251,62
"First Citizens Bank & Trust Company, Inc",11063,785,26567251,63
Guaranty Bank,11063,785,26567251,64
"BestBank, A Division of Guaranty Bank",11063,785,26567251,65
First Citizens Bank & Trust Company,11063,785,26567251,66
Compass Bank,19048,770,62499504,67
BBVA Compass,19048,770,62499504,68
TexasBank,19048,770,62499504,69
Woodforest National Bank,23220,756,3964972,70
Bank of the West,3514,745,50701551,71
Commercial Federal Bank,3514,745,50701551,72
BMO Harris Bank National Association,16571,715,77449451,73
Harris National Association,16571,715,77449451,74
M&I Marshall & Ilsley Bank,16571,715,77449451,75
"AMCORE Bank, National Association",16571,715,77449451,76
Comerica Bank,983,509,57738238,77
Sterling Bank,983,509,57738238,78
Bank of the Hills,983,509,57738238,79
Peoples United Bank,27334,500,27454509,80
Maine Bank & Trust Company,27334,500,27454509,81
Ocean Bank,27334,500,27454509,82
Chittenden Trust Company,27334,500,27454509,83
"Peoples United Bank, National Association",27334,500,27454509,84
Suffolk County National Bank of Riverhead,27334,500,27454509,85
First National Bank of Pennsylvania,7888,492,1169569000,86
Community Bank & Trust Company,7888,492,1169569000,87
Commerce Bank of Washington,2270,480,16476161,88
Zions First National Bank,2270,480,16476161,89
National Bank of Arizona,2270,480,16476161,90
"ZB, National Association",2270,480,16476161,91
"Amegy Bank, National Association",2270,480,16476161,92
California Bank & Trust,2270,480,16476161,93
Nevada State Bank,2270,480,16476161,94
Commerce Bank of Oregon,2270,480,16476161,95
"Vectra Bank Colorado, National Association",2270,480,16476161,96
TCF National Bank,28330,468,16001970,97
"Union Bank, National Association",22826,464,82272556,98
Jackson Federal Bank,22826,464,82272556,99
"MUFG Union Bank, National Association",22826,464,82272556,100
Frontier Bank,22826,464,82272556,101
Citizens Bank of Pennsylvania,57282,412,28856190,102
Capital Bank Corporation,4977,384,18792777,103
"First Tennessee Bank, National Association",4977,384,18792777,104
Captial Bank Corporation,4977,384,18792777,105
Umpqua Bank,17266,359,17246612,106
Old National Bank,3832,355,8882485,107
First Midwest Bank,3832,355,8882485,108
"Anchor Bank, a division of Old National Bank",3832,355,8882485,109
Arvest Bank,8728,348,13251681,110
Bear State Bank,8728,348,13251681,111
First Convenience Bank,3285,332,1180890,112
First National Bank Texas,3285,332,1180890,113
Georgia Bank & Trust,873,317,22889465,114
Citizens First Bank,873,317,22889465,115
Bank of Nashville,873,317,22889465,116
SB&T,873,317,22889465,117
Bank of North Georgia,873,317,22889465,118
Trust One Bank,873,317,22889465,119
CB&T Bank of East Alabama,873,317,22889465,120
