"","x"
"1","8320"
"2","7800"
"3","3920"
"4","3850"
"5","4150"
"6","8440"
"7","4280"
"8","3960"
"9","0760"
"10","3350"
"11","7000"
"12","6820"
"13","0480"
"14","3290"
"15","2000"
"16","2560"
"17","9200"
"18","5330"
"19","2985"
"20","3150"
"21","6895"
"22","3605"
"23","0320"
"24","4100"
"25","6720"
"26","0870"
"27","3285"
"28","0920"
"29","5140"
"30","3040"
"31","0880"
"32","3710"
"33","3560"
"34","4800"
"35","4360"
"36","0380"
"37","3520"
"38","8120"
"39","0740"
"40","7720"
"41","3500"
"42","7680"
"43","6080"
"44","9080"
"45","2880"
"46","1580"
"47","6240"
"48","8780"
"49","7460"
"50","6120"
"51","7200"
"52","5790"
"53","3400"
"54","7610"
"55","3610"
"56","4200"
